Division,Department,Item Name,Style,Display Location,Item Description,LPN ID,QTY, Retail , Total Retail , Asking Price 
Hm_Hard,Kitchen Electrics,B407824-00005-00000,B407824,R.LQ.01.03.P.15,Todd English Multi Function Steam Convection Oven,R0026198847214973461,1,$176.99 ,$176.99 ,$24.78 
Hm_Hard,Kitchen Electrics,B408585-00000-00000,B408585,R.LQ.01.03.P.06,Cook's Companion 5.8qt Air Fryer Grill Pan Accessory,R0026182565214810481,1,$10.98 ,$10.98 ,$1.54 
Hm_Hard,Cooking,B409364-00000-00000,B409364,R.LQ.01.03.P.18,Flip Pan Revolution Cookbook by Deb Murray,R0026205189215036971,1,$11.99 ,$11.99 ,$1.68 
Hm_Hard,Cooking,B409860-00003-00000,B409860,R.LQ.01.03.P.21,Cook's Companion Ceramic Air Fryer Set,R0026210496215090221,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00003-00000,B409860,R.LQ.01.03.P.06,Cook's Companion Ceramic Air Fryer Set,R0026180992214794711,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00003-00000,B409860,R.LQ.01.03.P.03,Cook's Companion Ceramic Air Fryer Set,R0026169456214679231,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00003-00000,B409860,R.LQ.01.03.P.21,Cook's Companion Ceramic Air Fryer Set,R0026209062215075871,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00005-00000,B409860,R.LQ.01.03.P.02,Cook's Companion Ceramic Air Fryer Set,I01235243906,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00005-00000,B409860,R.LQ.01.03.P.01,Cook's Companion Ceramic Air Fryer Set,R0026163424214618841,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00005-00000,B409860,R.LQ.01.03.P.10,Cook's Companion Ceramic Air Fryer Set,R0026193289214917861,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00005-00000,B409860,R.LQ.01.03.P.01,Cook's Companion Ceramic Air Fryer Set,R0026165270214637301,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409860-00005-00000,B409860,R.LQ.01.03.P.12,Cook's Companion Ceramic Air Fryer Set,R0026197105214956041,1,$15.99 ,$15.99 ,$2.24 
Hm_Hard,Cooking,B409886-00000-00000,B409886,R.LQ.01.03.P.13,Air Fryer Cookbook Second Edition by Allison Waggoner,R0026203685215021921,1,$19.94 ,$19.94 ,$2.79 
Hm_Hard,Kitchen Electrics,B410126-00003-00000,B410126,R.LQ.01.03.P.12,"Todd English 1800W Induction w/ 14"" Grill Pan & Trivet",R0026197639214961381,1,$69.99 ,$69.99 ,$9.80 
Hm_Hard,Kitchen Electrics,B410284-00003-00000,B410284,R.LQ.01.03.P.01,Paula Deen Set of 2 Oil Mister Spray Bottles,R0026163374214618341,1,$12.94 ,$12.94 ,$1.81 
Hm_Hard,Kitchen Electrics,B410904-00003-00000,B410904,R.LQ.01.03.P.07,Paula Deen 1000W Food Prep Station,R0026180816214792941,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410904-00003-00000,B410904,R.LQ.01.03.P.02,Paula Deen 1000W Food Prep Station,R0026165680214641401,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410904-00003-00000,B410904,R.LQ.01.03.P.07,Paula Deen 1000W Food Prep Station,R0026178845214773201,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410904-00003-00000,B410904,R.LQ.01.03.P.05,Paula Deen 1000W Food Prep Station,R0026175097214735711,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410904-00003-00000,B410904,R.LQ.01.03.P.08,Paula Deen 1000W Food Prep Station,R0026185584214840681,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410904-00087-00000,B410904,R.LQ.01.03.P.05,Paula Deen 1000W Food Prep Station,R0026175078214735521,1,$259.00 ,$259.00 ,$36.26 
Hm_Hard,Kitchen Electrics,B410924-11684-00000,B410924,R.LQ.01.03.P.03,Paula Deen Open Mixer Mixing Bowl w/Cover,R0026175356214738301,1,$33.94 ,$33.94 ,$4.75 
Hm_Hard,Kitchen Electrics,B411004-69391-00000,B411004,R.LQ.01.03.P.06,Paula Deen 3.3qt Rice Cooker,R0026179402214778761,1,$9.98 ,$9.98 ,$1.40 
Hm_Hard,Kitchen Electrics,B411104-00087-00000,B411104,R.LQ.01.03.P.06,Cook's Companion Rechargeable Spice Mill,R0026176698214751721,1,$7.98 ,$7.98 ,$1.12 
Hm_Hard,Kitchen Electrics,B411104-00087-00000,B411104,R.LQ.01.03.P.10,Cook's Companion Rechargeable Spice Mill,R0026183672214821551,1,$7.98 ,$7.98 ,$1.12 
Hm_Hard,Cooking,B411286-00005-00000,B411286,R.LQ.01.03.P.03,Cook's Companion 12 Cup Vertical Pot w/ Utility Basket,R0026172611214710841,1,$29.99 ,$29.99 ,$4.20 
Hm_Hard,Cooking,B411286-00005-00000,B411286,R.LQ.01.03.P.14,Cook's Companion 12 Cup Vertical Pot w/ Utility Basket,R0026198157214966561,1,$29.99 ,$29.99 ,$4.20 
Hm_Hard,Cooking,B411286-00005-00000,B411286,R.LQ.01.03.P.03,Cook's Companion 12 Cup Vertical Pot w/ Utility Basket,R0026174033214725061,1,$29.99 ,$29.99 ,$4.20 
Hm_Hard,Cooking,B411286-05640-00000,B411286,R.LQ.01.03.P.25,Cook's Companion 12 Cup Vertical Pot w/ Utility Basket,R0026218254215168021,1,$29.99 ,$29.99 ,$4.20 
Hm_Hard,Cooking,B411286-05640-00000,B411286,R.LQ.01.03.P.10,Cook's Companion 12 Cup Vertical Pot w/ Utility Basket,R0026196125214946241,1,$29.99 ,$29.99 ,$4.20 
Hm_Hard,Cooking,B411304-00005-00000,B411304,R.LQ.01.03.P.03,Cook's Companion Vertical Utility Basket w/ Set of 2 Trivets,R0026174019214724921,1,$7.99 ,$7.99 ,$1.12 
Hm_Hard,Kitchen Electrics,B411524-00143-00000,B411524,R.LQ.01.03.P.17,"""AS IS"" Paula Deen 8.5qt Polished SS Color Ceramic Electric Oval ",R0026203998215025061,1,$86.79 ,$86.79 ,$12.15 
Hm_Hard,Cooking,B411913-00087-18821,B411913,R.LQ.01.03.P.01,"Deen Brothers 10.5"" Multi-Pan 4pc Set",R0026163368214618281,1,$82.75 ,$82.75 ,$11.59 
Hm_Hard,Cooking,B411913-00087-18821,B411913,R.LQ.01.03.P.01,"Deen Brothers 10.5"" Multi-Pan 4pc Set",R0026163383214618431,1,$82.75 ,$82.75 ,$11.59 
Hm_Hard,Kitchen Electrics,B411966-00003-00000,B411966,R.LQ.01.03.P.06,Todd English 800W High Speed Vacuum Blending System,R0026179393214778671,1,$250.00 ,$250.00 ,$35.00 
Hm_Hard,Kitchen Electrics,B411966-00003-00000,B411966,R.LQ.01.03.P.07,Todd English 800W High Speed Vacuum Blending System,R0026179030214775031,1,$250.00 ,$250.00 ,$35.00 
Hm_Hard,Kitchen Electrics,B411966-00087-00000,B411966,R.LQ.01.03.P.12,Todd English 800W High Speed Vacuum Blending System,R0026196970214954691,1,$250.00 ,$250.00 ,$35.00 
Hm_Hard,Kitchen Electrics,B412086-00000-00000,B412086,R.LQ.01.03.P.01,Paula Deen Food Prep Station Whisk & Cookie Paddle Accessory Set,I01235223393,1,$18.94 ,$18.94 ,$2.65 
Hm_Hard,Kitchen Electrics,B412111-00000-00000,B412111,R.LQ.01.03.P.06,"""AS IS"" Todd English 5.3qt Ceramic Nonstick Air Fryer Basket",R0026182554214810371,1,$23.27 ,$23.27 ,$3.26 
Hm_Hard,Kitchen Electrics,B413109-00087-00000,B413109,R.LQ.01.03.P.09,"""As Is"" Cook's Companion H2 Water Generator",I01235223428,1,$67.38 ,$67.38 ,$9.43 
Hm_Hard,Kitchen Electrics,B413224-00005-00000,B413224,R.LQ.01.03.P.25,Cook's Companion Hydro Bottle H2 Water Generator,R0026218539215170901,1,$59.99 ,$59.99 ,$8.40 
Hm_Hard,Cooking,B413244-00044-00000,B413244,R.LQ.01.03.P.06,Todd English 3pc Sparkle Series Wok Set,R0026178949214774221,1,$34.99 ,$34.99 ,$4.90 
Hm_Hard,Cooking,B413244-00087-00000,B413244,R.LQ.01.03.P.19,Todd English 3pc Sparkle Series Wok Set,R0026207715215062311,1,$34.99 ,$34.99 ,$4.90 
Hm_Hard,Cooking,B413244-00087-00000,B413244,R.LQ.01.03.P.12,Todd English 3pc Sparkle Series Wok Set,R0026197837214963361,1,$34.99 ,$34.99 ,$4.90 
Hm_Hard,Cooking,B413565-00087-00000,B413565,R.LQ.01.03.P.06,Cook's Companion 2pc Pizza Pan Set,R0026170564214690321,1,$12.99 ,$12.99 ,$1.82 
Hm_Hard,Cooking,B413565-00087-00000,B413565,R.LQ.01.03.P.06,Cook's Companion 2pc Pizza Pan Set,R0026170583214690511,1,$12.99 ,$12.99 ,$1.82 
Hm_Hard,Kitchen Electrics,B414104-00003-00000,B414104,R.LQ.01.03.P.06,Cook's Companion Cordless Hand Mixer,R0026179197214776711,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00003-00000,B414104,R.LQ.01.03.P.18,Cook's Companion Cordless Hand Mixer,R0026206090215046041,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00003-00000,B414104,R.LQ.01.03.P.13,Cook's Companion Cordless Hand Mixer,R0026203722215022291,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00003-00000,B414104,R.LQ.01.03.P.06,Cook's Companion Cordless Hand Mixer,R0026181569214800491,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.21,Cook's Companion Cordless Hand Mixer,R0026210469215089951,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.03,Cook's Companion Cordless Hand Mixer,R0026165803214642631,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.10,Cook's Companion Cordless Hand Mixer,R0026185986214844701,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.23,Cook's Companion Cordless Hand Mixer,R0026214858215133951,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.13,Cook's Companion Cordless Hand Mixer,R0026197146214956451,1,$14.99 ,$14.99 ,$2.10 
Hm_Hard,Kitchen Electrics,B414104-00005-00000,B414104,R.LQ.01.03.P.03,Cook's Companion Cordless Hand Mixer,R0026172979214714521,1,$14.99 ,$14.99 ,$2.10 
